Cidade;Atendimento
Iapu;Dias Alternados
Ibiá;Dias Alternados
Ibiaí;Dias Alternados
Ibiraci;Dias Alternados
Ibirité;Dias Alternados
Icaraí De Minas;Dias Alternados
Igarapé;Dias Alternados
Igaratinga;Semanalmente
Iguatama;Dias Alternados
Ilicinéa;Dias Alternados
Inconfidentes;Dias Alternados
Indianópolis;Dias Alternados
Inhapim;Dias Alternados
Inhaúma;Dias Alternados
Ipaba;Dias Alternados
Ipatinga;Diariamente
Ipuiuna;Dias Alternados
Iraí De Minas;Dias Alternados
Itabira;Dias Alternados
Itabirinha;Dias Alternados
Itabirinha de Mantena;Dias Alternados
Itabirito;Dias Alternados
Itacarambi;Dias Alternados
Itaguara;Dias Alternados
Itaipé;Semanalmente
Itajubá;Dias Alternados
Itamarandiba;Dias Alternados
Itamarati De Minas;Dias Alternados
Itambacuri;Dias Alternados
Itamogi;Dias Alternados
Itamonte;Dias Alternados
Itanhandu;Dias Alternados
Itaobim;Dias Alternados
Itapecirica;Dias Alternados
Itapeva;Dias Alternados
Itatiaiuçu;Dias Alternados
Itaú de Minas;Dias Alternados
Itaúna;Dias Alternados
Itinga;Dias Alternados
Ituiutaba;Dias Alternados
Iturama;Dias Alternados
Jaboticatubas;Dias Alternados
Jacinto;Dias Alternados
Jacuí;Dias Alternados
Jacutinga;Dias Alternados
Jaíba;Dias Alternados
Janaúba;Dias Alternados
Januária;Dias Alternados
Jenipapo de Minas;Dias Alternados
Jequeri;Dias Alternados
Jequitaí;Semanalmente
Jequitinhonha;Dias Alternados
Joaima;Dias Alternados
Joaíma;Dias Alternados
João Monlevade;Dias Alternados
João Pinheiro;Dias Alternados
Juatuba;Dias Alternados
Juiz de Fora;Diariamente
Juruaia;Dias Alternados
Ladainha;Dias Alternados
Lagamar;Dias Alternados
Lagoa Da Prata;Dias Alternados
Lagoa Dos Patos;Dias Alternados
Lagoa Dourada;Dias Alternados
Lagoa Formosa;Dias Alternados
Lagoa Santa;Dias Alternados
Lambari;Dias Alternados
Laranjal;Semanalmente
Lavras;Dias Alternados
Leandro Ferreira;Dias Alternados
Leopoldina;Dias Alternados
Liberdade;Dias Alternados
Lima Duarte;Dias Alternados
Limeira do Oeste;Dias Alternados
Luz;Dias Alternados
Machacalis;Semanalmente
Machado;Dias Alternados
Malacacheta;Dias Alternados
Manga;Dias Alternados
Manhuaçu;Diariamente
Mantena;Dias Alternados
Maravilhas;Dias Alternados
Maria da Fé;Dias Alternados
Mariana;Dias Alternados
Mário Campos;Dias Alternados
Maripá de Minas;Dias Alternados
Martinho Campos;Dias Alternados
Mata Verde;Dias Alternados
Mateus Leme;Dias Alternados
Mathias Lobato;Semanalmente
Matias Barbosa;Dias Alternados
Matipó;Dias Alternados
Mato Verde;Dias Alternados
Matozinhos;Dias Alternados
Medina;Dias Alternados
Mendes Pimentel;Semanalmente
Mercês;Dias Alternados
Mesquita;Dias Alternados
Minas Novas;Dias Alternados
Minduri;Dias Alternados
Mirabela;Dias Alternados
Miradouro;Dias Alternados
Miraí;Dias Alternados
Moeda;Dias Alternados
Moema;Semanalmente
Monsenhor Paulo;Dias Alternados
Montalvânia;Dias Alternados
Monte Alegre de Minas;Dias Alternados
Monte Azul;Dias Alternados
Monte Belo;Dias Alternados
Monte Carmelo;Dias Alternados
Monte Santo de Minas;Dias Alternados
Monte Sião;Dias Alternados
Monte Verde;Semanalmente
Montes Claros;Diariamente
Morada Nova De Minas;Dias Alternados
Munhoz;Semanalmente
Muriaé;Dias Alternados
Muzambinho;Dias Alternados
Nanuque;Dias Alternados
Natercia;Semanalmente
Nazareno;Semanalmente
Nepomuceno;Dias Alternados
Nova Era;Dias Alternados
Nova Lima;Dias Alternados
Nova Módica;Dias Alternados
Nova Ponte;Dias Alternados
Nova Resende;Dias Alternados
Nova Uniao;Dias Alternados
Olímpio Noronha;Dias Alternados
Oliveira;Dias Alternados
Ouro Branco;Dias Alternados
Ouro Fino;Dias Alternados
Ouro Preto;Dias Alternados
Padre Paraíso;Dias Alternados
Pains;Dias Alternados
Palmópolis;Semanalmente
Papagaios;Dias Alternados
Pará de Minas;Dias Alternados
Paracatu;Semanalmente
Paraguaçu;Dias Alternados
Paraisópolis;Dias Alternados
Paraopeba;Dias Alternados
Passa Quatro;Dias Alternados
Passa Tempo;Dias Alternados
Passos;Dias Alternados
Patos de Minas;Diariamente
Patrocínio;Dias Alternados
Paula Cândido;Semanalmente
Pavao;Dias Alternados
Pavão;Dias Alternados
Peçanha;Dias Alternados
Pedra Azul;Dias Alternados
Pedralva;Dias Alternados
Pedrinópolis;Dias Alternados
Pedro Leopoldo;Dias Alternados
Pequeri;Dias Alternados
Perdigão;Dias Alternados
Perdizes;Dias Alternados
Perdões;Dias Alternados
Pimenta;Dias Alternados
Piracema;Dias Alternados
Pirajuba;Dias Alternados
Piranga;Dias Alternados
Piranguinho;Dias Alternados
Pirapetinga;Dias Alternados
Pirapora;Dias Alternados
Piraúba;Dias Alternados
Pitangui;Dias Alternados
Piumhi;Dias Alternados
Planura;Dias Alternados
Poço Fundo;Dias Alternados
Poços De Caldas;Dias Alternados
Pocrane;Semanalmente
Pompéu;Dias Alternados
Ponte Nova;Dias Alternados
Poté;Dias Alternados
Pouso Alto;Dias Alternados
Prata;Dias Alternados
Pratápolis;Dias Alternados
Presidente Olegário;Dias Alternados
Raul Soares;Dias Alternados
Recreio;Dias Alternados
Resende Costa;Dias Alternados
Resplendor;Dias Alternados
Riachinho;Dias Alternados
Ribeirão das Neves;Dias Alternados
Ribeirao Vermelho;Semanalmente
Rio Acima;Semanalmente
Rio Casca;Dias Alternados
Rio do Prado;Semanalmente
Rio Manso;Dias Alternados
Rio Novo;Dias Alternados
Rio Paranaíba;Dias Alternados
Rio Pardo de Minas;Dias Alternados
Rio Piracicaba;Dias Alternados
Rio Pomba;Dias Alternados
Rio Preto;Dias Alternados
Rio Vermelho;Semanalmente
Rochedo de Minas;Dias Alternados
Rodeiro;Dias Alternados
Romaria;Dias Alternados
Rubim;Dias Alternados
Sabara;Dias Alternados
Sabará;Dias Alternados
Sabinópolis;Dias Alternados
Sacramento;Dias Alternados
Salinas;Dias Alternados
Salto da Divisa;Semanalmente
Santa Bárbara;Dias Alternados
Santa Juliana;Dias Alternados
Santa Luzia;Dias Alternados
Santa Margarida;Dias Alternados
Santa Maria de Itabira;Dias Alternados
Santa Maria do Suaçuí;Dias Alternados
Santa Rita de Caldas;Dias Alternados
Santa Rita do Sapucaí;Dias Alternados
Santa Vitória;Dias Alternados
Santana Da Vargem;Dias Alternados
Santana do Jacaré;Dias Alternados
Santana do Paraíso;Semanalmente
Santo Antônio do Amparo;Dias Alternados
Santo Antônio Do Aventureiro;Dias Alternados
Santo Antônio do Jacinto;Dias Alternados
Santos Dumont;Dias Alternados
São Domingos do Prata;Dias Alternados
São Francisco;Dias Alternados
São Francisco de Paula;Dias Alternados
São Francisco de Sales;Dias Alternados
São Geraldo;Dias Alternados
São Gonçalo do Abaeté;Dias Alternados
São Gonçalo do Pará;Semanalmente
São Gonçalo do Rio Abaixo;Dias Alternados
São Gonçalo Do Sapucaí;Dias Alternados
São Gotardo;Dias Alternados
São João da Ponte;Dias Alternados
São João das Missões;Semanalmente
Sao João Del Rei;Dias Alternados
São João do Manteninha;Semanalmente
São João do Oriente;Dias Alternados
São João do Paraíso;Dias Alternados
São João Evangelista;Dias Alternados
São João Nepomuceno;Dias Alternados
São Joaquim de Bicas;Dias Alternados
São José da Barra;Dias Alternados
São José da Lapa;Dias Alternados
São José do Alegre;Dias Alternados
São José do Divino;Semanalmente
São José do Goiabal;Semanalmente
São José do Jacuri;Semanalmente
São Lourenço;Dias Alternados
São Pedro da União;Dias Alternados
São Pedro do Suaçuí;Dias Alternados
São Pedro dos Ferros;Dias Alternados
São Romão;Dias Alternados
São Roque De Minas;Dias Alternados
São Sebastião da Bela Vista;Dias Alternados
São Sebastião do Maranhão;Semanalmente
São Sebastião Do Paraíso;Dias Alternados
São Thiago;Dias Alternados
São Thomé das Letras;Dias Alternados
São Tiago;Dias Alternados
São Tomás de Aquino;Dias Alternados
São Tomé das Letras;Dias Alternados
Sao Vicente De Minas;Dias Alternados
São Vicente De Minas;Dias Alternados
Sarzedo;Dias Alternados
Senador Cortes;Dias Alternados
Senador Firmino;Dias Alternados
Senhora de Oliveira;Dias Alternados
Serra do Salitre;Dias Alternados
Serra dos Aimorés;Semanalmente
Sete Lagoas;Dias Alternados
Simonesia;Dias Alternados
Simonésia;Dias Alternados
Sobrália;Dias Alternados
Taiobeiras;Dias Alternados
Taquaraçu de Minas;Semanalmente
Tarumirim;Dias Alternados
Teixeiras;Dias Alternados
Teófilo Otoni;Diariamente
Timóteo;Dias Alternados
Tiradentes;Dias Alternados
Tiros;Semanalmente
Tocantins;Dias Alternados
Tombos;Semanalmente
Três Corações;Dias Alternados
Três Marias;Dias Alternados
Três Pontas;Dias Alternados
Tumiritinga;Semanalmente
Tupaciguara;Dias Alternados
Turmalina;Dias Alternados
Ubá;Dias Alternados
Ubaí;Dias Alternados
Ubaporanga;Semanalmente
Uberaba;Diariamente
Uberlândia;Diariamente
Urucânia;Semanalmente
Varginha;Diariamente
Várzea da Palma;Dias Alternados
Varzelândia;Dias Alternados
Vazante;Dias Alternados
Vespasiano;Dias Alternados
Viçosa;Dias Alternados
Virgem da Lapa;Dias Alternados
Virgínia;Dias Alternados
Virginópolis;Dias Alternados
Virgolândia;Dias Alternados
Visconde Do Rio Branco;Dias Alternados
Volta Grande;Dias Alternados
